"Code","Display","Codesystem","Category"
"125001","Ferrous (59-Fe) sulfate ","http://snomed.info/sct","medication"
"439007","Therapeutic radioisotope ","http://snomed.info/sct","medication"
"796001","Product containing digoxin ","http://snomed.info/sct","medication"
"873008","Urethan ","http://snomed.info/sct","environment"
"925002","Sodium iodipamide ","http://snomed.info/sct","medication"
"1166006","Titanium ","http://snomed.info/sct","environment"
"1182007","Hypotensive agent ","http://snomed.info/sct","medication"
"1368003","Iodine-131 ","http://snomed.info/sct","medication"
"1710001","Uric acid ","http://snomed.info/sct","environment"
"2159007","Azorubin S stain ","http://snomed.info/sct","environment"
"2309006","Gold ","http://snomed.info/sct","environment"
"2705002","Arsenic-72 ","http://snomed.info/sct","environment"
"2799001","Methylbenzethonium chloride ","http://snomed.info/sct","environment"
"2869004","Acetic acid ","http://snomed.info/sct","environment"
"2942001","Carbon (14-C) xylose ","http://snomed.info/sct","environment"
"3040004","Technetium (99m-Tc) disofenin ","http://snomed.info/sct","medication"
"3325005","Lipopolysaccharide ","http://snomed.info/sct","biologic"
"3829006","Iron ","http://snomed.info/sct","environment"
"4382004","Centrally acting hypotensive agent ","http://snomed.info/sct","medication"
"4832001","Technetium (99m-Tc) mebrofenin ","http://snomed.info/sct","medication"
"5931004","Technetium (99m-Tc) sulfur colloid ","http://snomed.info/sct","medication"
"6425004","Product containing histamine receptor antagonist ","http://snomed.info/sct","medication"
"6725000","Methylene blue stain ","http://snomed.info/sct","environment"
"7140000","Radiographic contrast media ","http://snomed.info/sct","medication"
"7281000","Technetium (99m-Tc) lidofenin ","http://snomed.info/sct","medication"
"7292004","Product containing indocyanine green ","http://snomed.info/sct","medication"
"7434003","Erythrosin B stain ","http://snomed.info/sct","environment"
"7791007","Soy protein ","http://snomed.info/sct","food"
"7947003","Product containing aspirin ","http://snomed.info/sct","medication"
"8348002","Product containing cyclopentolate ","http://snomed.info/sct","medication"
"9190005","Product containing tropicamide ","http://snomed.info/sct","medication"
"9721008","Phencyclidine ","http://snomed.info/sct","medication"
"10249006","Agar ","http://snomed.info/sct","food"
"10712001","Product containing glucagon ","http://snomed.info/sct","medication"
"10944007","Taurine ","http://snomed.info/sct","environment"
"11136004","Methoxyflurane ","http://snomed.info/sct","medication"
"11496005","Mercuric chloride ","http://snomed.info/sct","environment"
"11526002","Aspartame ","http://snomed.info/sct","food"
"11894001","Clostridium botulinum toxin ","http://snomed.info/sct","biologic"
"11959009","Product containing procainamide ","http://snomed.info/sct","medication"
"12335007","Product containing amidotrizoate ","http://snomed.info/sct","medication"
"12510000","Eucalyptus oil ","http://snomed.info/sct","environment"
"12597001","Tin ","http://snomed.info/sct","environment"
"12801003","Iodamide meglumine ","http://snomed.info/sct","medication"
"13132007","Product containing dextran ","http://snomed.info/sct","medication"
"13577000","Nut ","http://snomed.info/sct","food"
"14402002","Wood ","http://snomed.info/sct","environment"
"14443002","Substance with aminoglycoside structure and antibacterial mechanism of action ","http://snomed.info/sct","medication"
"14529005","Gadolinium-153 ","http://snomed.info/sct","medication"
"15698006","Lysergic acid diethylamide ","http://snomed.info/sct","medication"
"17600005","Diagnostic radioisotope ","http://snomed.info/sct","medication"
"19041007","Tolazoline hydrochloride ","http://snomed.info/sct","medication"
"19495007","Technetium (99m-Tc) sodium pertechnetate ","http://snomed.info/sct","medication"
"19893005","Potassium dichromate ","http://snomed.info/sct","environment"
